Name,Rank,Price,24h Change,"""Market Cap""",Volume,Circ_Supply,Category
NOMNOM,2186,0.0014710 USD,−5.88%,1.42 M USD,201.03 K USD,967.21 M,Memes
HZM,2187,0.00045134 USD,+0.01%,1.41 M USD,250 USD,3.13 B,—
ZKB,2188,0.0071019 USD,+23.52%,1.4 M USD,1.49 M USD,197.44 M,"Decentralized exchange, Scaling, DeFi"
BOB,2189,0.0000000000000 USD,−10.94%,1.41 M USD,91.3 K USD,420.69 T,Memes
XNK,2190,"2,916.41 USD",+0.02%,1.41 M USD,32.26 K USD,482,—
STORE,2191,0.0057069 USD,+3.00%,1.42 M USD,98.65 K USD,248 M,—
WIT,2192,0.0017290 USD,−9.22%,1.39 M USD,2.48 K USD,802.02 M,"Oracles, Interoperability, Web3, Layer 1"
CEC,2193,0.014229 USD,+24.23%,1.42 M USD,1.81 M USD,100 M,Gaming
WSI,2194,0.0023570 USD,−2.94%,1.45 M USD,1.45 M USD,615.93 M,"Privacy, Distributed computing & Storage, DePIN"
SUGAR,2195,0.0014090 USD,−0.75%,1.38 M USD,20.93 K USD,976.38 M,—
RING,2196,0.013670 USD,−2.20%,1.37 M USD,1.74 K USD,100 M,Data management & AI
KOM,2197,0.00082131 USD,−0.46%,1.36 M USD,72.84 K USD,1.66 B,—
LL,2198,0.016750 USD,−0.63%,1.37 M USD,110.47 K USD,81.67 M,"Scaling, DAO"
GHOAD,2199,0.00034299 USD,−1.42%,1.37 M USD,89.88 K USD,4 B,—
FSN,2200,0.017800 USD,+7.06%,1.38 M USD,69.95 K USD,77.67 M,"Payments, DeFi"
BBB,2201,0.031799 USD,+2.68%,1.37 M USD,292 USD,42.93 M,—
BAKED,2202,0.0013632 USD,−0.75%,1.36 M USD,20.57 K USD,1 B,Memes
BIDZ,2203,0.0015973 USD,0.00%,1.36 M USD,5.32 K USD,850 M,—
MIR,2204,0.017160 USD,+2.59%,1.33 M USD,74.38 K USD,77.74 M,Derivatives
HOTCROSS,2205,0.011919 USD,−1.19%,1.36 M USD,276.28 K USD,113.75 M,—
WBC,2206,0.0076298 USD,−2.04%,1.35 M USD,755.02 K USD,177.51 M,—
LSS,2207,0.024000 USD,+0.61%,1.33 M USD,192.32 K USD,55.57 M,"Data management & AI, Cybersecurity"
HST,2208,0.0096468 USD,−5.61%,1.33 M USD,4.07 K USD,138.3 M,—
D,2209,0.0013320 USD,−1.64%,1.33 M USD,698.47 K USD,1 B,Memes
ROOBEE,2210,0.00032599 USD,−1.16%,1.34 M USD,90.9 K USD,4.1 B,Data management & AI
DORKY,2211,0.019700 USD,+8.27%,1.37 M USD,68.12 K USD,69.42 M,Memes
SHY,2212,0.0026349 USD,−2.51%,1.32 M USD,173.43 K USD,500 M,—
VSYS,2213,0.00039289 USD,−2.22%,1.32 M USD,500.45 K USD,3.35 B,Smart contract platforms
TST,2214,0.0033489 USD,−11.89%,1.34 M USD,463.59 K USD,400 M,—
NOM,2215,0.0096398 USD,+6.90%,1.3 M USD,40.5 K USD,134.63 M,"Decentralized exchange, Interoperability"
GAME,2216,0.018550 USD,+3.02%,1.32 M USD,73.02 K USD,70.98 M,"Gaming, Metaverse"
SAVM,2217,0.18730 USD,−2.25%,1.31 M USD,67.26 K USD,7 M,Scaling
UBXS,2218,0.022700 USD,−4.20%,1.3 M USD,161.58 K USD,57.16 M,"NFTs & Collectibles, Metaverse, Real estate"
GORA,2219,0.052099 USD,−13.00%,1.32 M USD,9.25 K USD,25.3 M,—
LIS,2220,0.00061169 USD,−0.35%,1.3 M USD,105.76 K USD,2.13 B,—
UFI,2221,0.022250 USD,−8.31%,1.3 M USD,79 USD,58.42 M,"Privacy, Oracles, Data management & AI, Identity, Analytics, Cybersecurity"
XODEX,2222,0.00019080 USD,−2.94%,1.3 M USD,177.45 K USD,6.8 B,Layer 1
PANDA,2223,0.0019300 USD,+4.75%,1.28 M USD,59.81 K USD,661.93 M,—
AMB,2224,0.00023535 USD,−7.39%,1.3 M USD,514.87 K USD,5.52 B,"Payments, DeFi, Layer 1"
SIN,2225,0.0016870 USD,−0.51%,1.29 M USD,78.18 K USD,766.94 M,"Gaming, Metaverse"
SAINT,2226,0.0012900 USD,−9.14%,1.29 M USD,8.9 K USD,999.72 M,—
MNRY,2227,0.020250 USD,−5.97%,1.29 M USD,1.08 M USD,63.56 M,Gaming
HEMULE,2228,0.0013100 USD,+4.83%,1.28 M USD,253.21 K USD,980 M,Memes
AKRO,2229,0.00028724 USD,−0.79%,1.27 M USD,274.34 K USD,4.44 B,"Lending & Borrowing, DeFi, DAO"
OCB,2230,0.00023900 USD,+6.72%,1.27 M USD,6.05 M USD,5.31 B,—
MIND,2231,0.0009335 USD,−10.15%,1.28 M USD,10.69 K USD,1.37 B,"Smart contract platforms, Data management & AI, Enterprise solutions, Metaverse, Web3"
MNTL,2232,0.00063399 USD,+3.28%,1.27 M USD,97.82 K USD,2 B,—
DIS,2233,0.0103698 USD,+21.03%,1.27 M USD,117.77 K USD,122.7 M,Memes
HAMMY,2234,0.0013480 USD,−1.15%,1.27 M USD,35.22 K USD,941.9 M,Memes
MLT,2235,0.010160 USD,−2.01%,1.26 M USD,177.26 K USD,124.42 M,"Social, media & Content, Metaverse"
AI,2236,0.0000030000 USD,+6.82%,1.26 M USD,128 K USD,420.69 B,"Memes, Interoperability"
EXPERT,2237,0.0014815 USD,+0.09%,1.26 M USD,531.43 K USD,850 M,—
RIB,2238,0.0062139 USD,+1.16%,1.26 M USD,1.8 K USD,202.23 M,Real estate
HLG,2239,0.00083398 USD,+29.13%,1.25 M USD,158.45 K USD,1.5 B,Interoperability
TUP,2240,0.011900 USD,+1.95%,1.25 M USD,641.06 K USD,105.37 M,"Gaming, Web3"
GALAXIS,2241,0.00060559 USD,−13.65%,1.24 M USD,463.97 K USD,2.05 B,"NFTs & Collectibles, Social, media & Content, Loyalty & Rewards"
UMB,2242,0.0042809 USD,−4.81%,1.25 M USD,58.32 K USD,292.96 M,Oracles
PKF,2243,0.010920 USD,−1.60%,1.25 M USD,2.22 K USD,114.69 M,Developments tools
PIZA,2244,0.059599 USD,+8.15%,1.25 M USD,193.33 K USD,21 M,"Memes, NFTs & Collectibles"
PAY,2245,0.0060929 USD,−6.24%,1.25 M USD,1.06 K USD,205.22 M,Cryptocurrencies
MNFT,2246,0.0000087600 USD,−0.08%,1.25 M USD,19.94 K USD,142.66 B,—
TRUST,2247,0.0012450 USD,−9.48%,1.24 M USD,1.08 M USD,1 B,Memes
BRWL,2248,0.0012580 USD,−0.21%,1.26 M USD,281.83 K USD,1 B,—
UP,2249,0.012470 USD,−5.44%,1.25 M USD,50.81 K USD,100 M,—
ELON,2250,0.0012385 USD,−3.03%,1.24 M USD,15.14 K USD,999.92 M,—
JGN,2251,0.0082498 USD,+5.15%,1.24 M USD,61.79 K USD,150 M,"NFTs & Collectibles, Metaverse"
AIAGENT,2252,0.0029104 USD,+8.16%,1.24 M USD,285.03 K USD,425.36 M,—
LEO,2253,0.00012980 USD,−0.51%,1.23 M USD,42.78 K USD,9.5 B,—
IVFUN,2254,0.0013110 USD,−31.35%,1.23 M USD,273.89 K USD,940.22 M,Memes
EJS,2255,0.00034109 USD,−0.65%,1.23 M USD,60.07 K USD,3.59 B,"Gaming, NFTs & Collectibles, Metaverse"
SOLVEX,2256,0.024900 USD,+8.52%,1.23 M USD,213.77 K USD,49.53 M,—
TSM,2257,0.0012280 USD,+0.43%,1.23 M USD,11.58 K USD,1 B,—
EFC,2258,0.24570 USD,−4.93%,1.21 M USD,155.7 K USD,4.93 M,"Sports, Fan Tokens"
SENTAI,2259,0.0012000 USD,+5.29%,1.2 M USD,526.16 K USD,1 B,"Memes, Data management & AI"
AEG,2260,0.0037469 USD,−1.64%,1.22 M USD,47.28 K USD,324.37 M,Gaming
AIPO,2261,0.0086838 USD,+7.75%,1.21 M USD,299.14 K USD,139.5 M,Gaming
BBF,2262,0.0064999 USD,−2.67%,1.21 M USD,328.71 K USD,186.5 M,"Gaming, Marketplace"
OXY,2263,0.0295000 USD,+5.73%,1.2 M USD,262.73 K USD,40.69 M,—
NGC,2264,0.014860 USD,+7.47%,1.16 M USD,21.58 K USD,77.91 M,"Centralized-exchange, Marketplace"
NEIRO,2265,0.0012120 USD,−2.39%,1.21 M USD,932.92 K USD,1 B,Memes
UPO,2266,0.010490 USD,−2.67%,1.19 M USD,381.95 K USD,113.79 M,—
FER,2267,0.0012950 USD,+12.61%,1.21 M USD,7.6 K USD,932.53 M,"Lending & Borrowing, Loyalty & Rewards"
MEAI,2268,0.0011910 USD,−3.38%,1.19 M USD,40.12 K USD,1 B,Gaming
BONDLY,2269,0.0012210 USD,−0.87%,1.2 M USD,20.51 K USD,983.62 M,"NFTs & Collectibles, Interoperability, Social, media & Content"
FIGHT,2270,0.0012045 USD,+14.28%,1.2 M USD,750.3 K USD,999.98 M,Memes
NGL,2271,0.032989 USD,+22.68%,1.35 M USD,29.38 K USD,40.88 M,"Gaming, NFTs & Collectibles"
GQ,2272,0.00020000 USD,+1.03%,1.19 M USD,288.13 K USD,5.93 B,"Gaming, Metaverse"
SOLS,2273,0.057059 USD,+0.39%,1.2 M USD,250.33 K USD,21 M,—
FRIEND,2274,0.070999 USD,−9.36%,1.04 M USD,52.15 K USD,14.6 M,"Social, media & Content"
RIDE,2275,0.0013558 USD,−5.62%,1.19 M USD,4.98 K USD,879.78 M,"Smart contract platforms, Gaming, NFTs & Collectibles, Metaverse"
BLOCX,2276,0.011985 USD,+8.97%,1.2 M USD,109.37 K USD,100.11 M,"Privacy, Distributed computing & Storage, Payments, Cybersecurity, DAO, DePIN"
JOB,2277,0.00012110 USD,−0.66%,1.19 M USD,45 USD,9.86 B,—
OMNIA,2278,0.13053 USD,+2.80%,1.19 M USD,5.02 M USD,9.11 M,"Data management & AI, DePIN"
DUST,2279,0.062199 USD,−3.25%,1.19 M USD,8.32 K USD,19.14 M,NFTs & Collectibles
PEN,2280,0.073039 USD,−9.07%,1.19 M USD,—,16.3 M,—
ERTHA,2281,0.00065124 USD,+0.21%,1.19 M USD,134.25 K USD,1.83 B,Gaming
CAU,2282,1.2930 USD,−7.62%,1.19 M USD,169.77 K USD,918.23 K,Layer 1
STBU,2283,0.0079298 USD,−7.74%,1.19 M USD,106.88 K USD,150 M,—
SOLVE,2284,0.0016900 USD,−6.09%,1.18 M USD,677.81 K USD,700.13 M,"Enterprise solutions, Health"
NBT,2285,0.0012520 USD,−0.14%,1.18 M USD,440 USD,944.18 M,—
DD,2286,0.11900 USD,+9.19%,1.16 M USD,16.39 K USD,9.76 M,—
GEEQ,2287,0.030519 USD,+8.59%,1.18 M USD,272.83 K USD,38.52 M,"Internet of things, NFTs & Collectibles, Logistics"
HANDY,2288,0.0012857 USD,+13.04%,1.22 M USD,597 USD,945.97 M,—
HAM,2289,0.00000000000000 USD,−8.69%,1.17 M USD,59.47 K USD,"2,384.23 T",Gambling
VC,2290,0.016740 USD,+0.44%,1.16 M USD,194.72 K USD,69.55 M,—
ARI10,2291,0.0041871 USD,+4.75%,1.17 M USD,—,278.57 M,—
VMINT,2292,0.0021120 USD,+4.22%,1.17 M USD,5.18 K USD,552.14 M,—
ASM,2293,0.29979 USD,−3.71%,1.17 M USD,379.67 K USD,3.9 M,—
AGRO,2294,0.00026149 USD,+1.17%,1.24 M USD,7.58 K USD,4.75 B,—
FOR,2295,0.0014600 USD,+0.64%,1.16 M USD,96.88 K USD,795 M,"Lending & Borrowing, DeFi"
VEXT,2296,0.0053579 USD,+1.82%,1.17 M USD,278.53 K USD,218.24 M,"Gaming, Social, media & Content, Loyalty & Rewards, Sports, Web3"
P3D,2297,0.0023850 USD,−0.98%,1.16 M USD,4.98 K USD,484.95 M,"Smart contract platforms, Layer 1"
BULL,2298,0.0014080 USD,−1.38%,1.16 M USD,154.09 K USD,820.52 M,"Gaming, NFTs & Collectibles, Metaverse"
NODL,2299,0.0012895 USD,−21.99%,1.13 M USD,19.81 K USD,877.42 M,"Distributed computing & Storage, Internet of things, DePIN"
READY,2300,0.0053969 USD,+3.75%,1.14 M USD,72.55 K USD,211.88 M,—
BOMB,2301,0.00011467 USD,+7.65%,1.15 M USD,4 USD,10 B,—
KLAUS,2302,0.0011470 USD,+5.72%,1.15 M USD,689.1 K USD,1 B,—
JUM,2303,0.0019940 USD,+0.17%,1.14 M USD,8.4 K USD,573.42 M,—
SON,2304,0.00019950 USD,−0.18%,1.14 M USD,68.27 K USD,5.74 B,—
KAP,2305,0.0088298 USD,−0.60%,1.12 M USD,32.53 K USD,127.13 M,"Gaming, Web3"
LVL,2306,0.065319 USD,+0.56%,1.14 M USD,53.37 K USD,17.41 M,—
JETTON,2307,0.14760 USD,+1.12%,1.13 M USD,49.01 K USD,7.67 M,—
VCF,2308,0.22090 USD,−1.93%,1.13 M USD,181.17 K USD,5.1 M,Fan Tokens
SMILE,2309,0.037066 USD,−5.05%,1.13 M USD,1.1 M USD,30.54 M,—
TOWER,2311,0.00063899 USD,+1.13%,1.12 M USD,6.89 K USD,1.75 B,"Gaming, NFTs & Collectibles, Metaverse"
KOII,2312,0.0019700 USD,+8.98%,1.12 M USD,140.91 K USD,567.43 M,—
HERE,2313,0.0012410 USD,−5.32%,1.12 M USD,51.42 K USD,900 M,Decentralized exchange
MDUS,2314,0.00027919 USD,−3.81%,1.12 M USD,1.13 K USD,4 B,—
LEOX,2315,0.069099 USD,−0.98%,1.11 M USD,8.42 K USD,16.04 M,—
CREPE,2316,0.00040999 USD,+0.02%,1.11 M USD,1.15 K USD,2.7 B,—
THREE,2317,0.013010 USD,−12.37%,1.11 M USD,7.51 K USD,85 M,Data management & AI
TURT,2318,0.0011675 USD,−2.19%,1.11 M USD,1.72 M USD,950 M,—
ARTFI,2319,0.0084498 USD,−0.91%,1.1 M USD,130.99 K USD,130.37 M,—
GMMT,2320,0.0067059 USD,−3.04%,1.1 M USD,1.05 M USD,163.52 M,Web3
NEOTECH,2321,0.0043599 USD,−8.77%,1.09 M USD,25.34 K USD,250 M,—
EFK,2322,0.0039891 USD,−0.70%,1.09 M USD,384 USD,273.09 M,—
OAX,2323,0.014080 USD,−0.19%,1.08 M USD,49.25 K USD,77.03 M,"Developments tools, DeFi, DAO"
GFT,2324,0.00048499 USD,+11.75%,1.09 M USD,24.16 K USD,2.24 B,"Social, media & Content, Loyalty & Rewards"
RENTA,2325,0.012117 USD,+3.24%,1.08 M USD,224.59 K USD,89.5 M,—
E4C,2326,0.010838 USD,+5.96%,1.08 M USD,1.1 M USD,100 M,Gaming
SEX,2327,"1,080,303.26 USD",−2.82%,1.08 M USD,120.07 K USD,1,Memes
SOUTH,2328,1.1100 USD,+0.93%,1.11 M USD,27.8 K USD,1 M,—
FUND,2329,0.031239 USD,−7.50%,1.08 M USD,1.64 K USD,34.45 M,"Oracles, Interoperability, Enterprise solutions, Web3"
XYRO,2330,0.010477 USD,−1.73%,1.08 M USD,595.72 K USD,102.65 M,Gaming
GSWIFT,2331,0.017330 USD,+0.02%,1.09 M USD,1.34 M USD,62.62 M,Gaming
DAVINCI,2332,0.011901 USD,−5.56%,1.07 M USD,27.08 K USD,90 M,—
FCON,2333,0.000061430 USD,+3.77%,1.07 M USD,59.61 K USD,17.42 B,—
VMPX,2334,0.009870 USD,−1.28%,1.07 M USD,84.59 K USD,108.62 M,—
BIAO,2335,0.00118698 USD,+104.35%,1.19 M USD,1.55 M USD,1 B,Memes
WAT,2336,0.000082950 USD,+0.83%,1.07 M USD,2.72 M USD,12.89 B,—
ANON,2337,0.0012340 USD,−5.28%,1.03 M USD,55.44 K USD,833.69 M,"Privacy, Memes, DAO"
XRPC,2338,0.0015956 USD,+19.45%,1.06 M USD,8.22 K USD,666.67 M,—
DAPPX,2339,0.0016090 USD,+9.85%,1.05 M USD,81.45 K USD,649.77 M,—
OCC,2340,0.041999 USD,−9.43%,1.05 M USD,7.04 K USD,24.99 M,—
JERRY,2341,0.0010760 USD,+3.20%,1.08 M USD,8.55 K USD,1 B,Memes
KREST,2342,0.020330 USD,−1.19%,1.05 M USD,3.41 K USD,51.46 M,"Distributed computing & Storage, DePIN"
AIEPK,2343,0.0026759 USD,−0.72%,1.07 M USD,52.45 K USD,400 M,"Distributed computing & Storage, Data management & AI"
CATBOY,2344,0.010395 USD,−0.03%,1.04 M USD,234.3 K USD,100 M,"Memes, Gaming, NFTs & Collectibles"
NIM,2345,0.0057499 USD,+16.19%,1.04 M USD,304 USD,181.34 M,Gaming
GNZ,2346,0.0014490 USD,+7.20%,1.3 M USD,1.28 M USD,900 M,—
LEE,2347,2.5989 USD,−0.10%,1.04 M USD,423.18 K USD,400 K,—
TRCL,2348,0.0010542 USD,+8.72%,1.03 M USD,3.29 K USD,979.82 M,—
SYNTH,2349,0.0066235 USD,−5.38%,1.03 M USD,596.65 K USD,155.59 M,Interoperability
BBL,2350,0.0010595 USD,−5.76%,1.03 M USD,3.38 M USD,967.76 M,"Social, media & Content"
BIOFI,2351,0.00026329 USD,−1.15%,1.03 M USD,13.82 K USD,3.91 B,—
BABY,2352,0.0016095 USD,−2.90%,999.33 K USD,122.17 K USD,620.9 M,"Decentralized exchange, Gaming, NFTs & Collectibles"
LIXX,2353,0.00019790 USD,−26.59%,989.5 K USD,120.07 K USD,5 B,—
SATX,2354,0.00034149 USD,−6.85%,1.02 M USD,83.55 K USD,3 B,—
REL,2355,0.0010286 USD,+1.84%,1.03 M USD,46.71 K USD,1 B,—
MOLI,2356,0.048899 USD,+2.75%,1.03 M USD,8.77 K USD,21 M,—
RENQ,2357,0.0029339 USD,−5.49%,1.02 M USD,53.91 K USD,348.95 M,—
ACE,2358,0.0016285 USD,+4.38%,1.02 M USD,158.5 K USD,624.77 M,Web3
ASTROS,2359,0.039899 USD,+0.52%,1.02 M USD,105.7 K USD,25.5 M,Memes
IVPAY,2360,0.0011140 USD,−3.11%,1.02 M USD,218.01 K USD,913.63 M,Payments
KANG,2361,0.0010180 USD,+0.46%,1.02 M USD,66.52 K USD,1 B,—
CENX,2362,0.00010061 USD,+6.80%,1.01 M USD,29.18 K USD,10 B,—
GRAPE,2363,0.00060499 USD,+40.14%,1.01 M USD,98.14 K USD,1.67 B,"Gaming, NFTs & Collectibles"
NIKO,2364,0.00095768 USD,−0.01%,957.68 K USD,64.43 K USD,1 B,"Memes, Data management & AI"
OLE,2365,0.0053609 USD,−1.40%,1.01 M USD,115.97 K USD,188.63 M,—
PLANET,2366,0.0000011800 USD,−1.19%,1 M USD,45.69 K USD,851.45 B,"Gaming, NFTs & Collectibles, DAO"
SALT,2367,0.0082798 USD,+0.14%,993.58 K USD,58 USD,120 M,Smart contract platforms
IMARO,2368,0.0014930 USD,−5.43%,995.23 K USD,94 K USD,666.6 M,—
D,2369,0.010100 USD,+0.02%,1.01 M USD,160.65 K USD,100 M,—
BAG,2370,0.00022600 USD,−11.70%,988.87 K USD,3.79 K USD,4.38 B,"Gaming, Metaverse, DAO"
SVN,2371,0.0093758 USD,−1.28%,984.46 K USD,108.08 K USD,105 M,—
WLKN,2372,0.00076598 USD,−0.76%,984.04 K USD,573.67 K USD,1.28 B,Move to earn
MOOV,2373,0.0013427 USD,−1.10%,981.76 K USD,424.77 K USD,731.18 M,"Gaming, Data management & AI, Move to earn, Metaverse, Gambling"
CHRP,2374,0.0023730 USD,−6.88%,980.12 K USD,150.48 K USD,413.03 M,Data management & AI
NOTAI,2375,0.000016580 USD,−8.74%,979.3 K USD,1.16 M USD,59.08 B,—
LQ,2376,2.6799 USD,−11.56%,978.16 K USD,5.21 K USD,365 K,—
U,2377,0.012010 USD,−0.14%,975.68 K USD,196.05 K USD,81.24 M,—
JEFF,2378,0.0053649 USD,+0.26%,975.12 K USD,32.78 K USD,181.76 M,"NFTs & Collectibles, Metaverse"
QLINDO,2379,0.00061949 USD,−1.03%,974.04 K USD,31.72 K USD,1.57 B,—
CFN,2380,0.99758 USD,+0.15%,972.46 K USD,163.14 K USD,974.82 K,—
JAM,2381,0.00012000 USD,−3.30%,917.13 K USD,27.67 K USD,7.64 B,—
GRL,2382,0.0020960 USD,−1.19%,969.78 K USD,57.71 K USD,462.68 M,—
ALOR,2383,0.077698 USD,+5.85%,969.58 K USD,586.14 K USD,12.48 M,—
MENGO,2384,0.11820 USD,−0.81%,970.24 K USD,74.25 K USD,8.21 M,"Sports, Fan Tokens"
VT,2385,0.0049999 USD,−3.46%,1.05 M USD,222 USD,210 M,—
PICA,2386,0.00010500 USD,+7.17%,962.89 K USD,41.01 K USD,9.17 B,Layer 1
MCHC,2387,0.034999 USD,−1.07%,957.42 K USD,150.87 K USD,27.36 M,—
WATER,2388,0.000010400 USD,−0.73%,924.44 K USD,5.18 K USD,88.89 B,—
CTI,2389,0.0077998 USD,−1.71%,970.65 K USD,37.03 K USD,124.45 M,Data management & AI
SVPN,2390,0.00095698 USD,+13.40%,956.98 K USD,2.54 K USD,1 B,DePIN
PDEX,2391,0.11430 USD,−3.52%,955.55 K USD,148.12 K USD,8.36 M,Decentralized exchange
CELA,2392,0.010140 USD,+0.62%,957.6 K USD,2.18 M USD,94.44 M,—
ARTEM,2393,0.0027439 USD,−0.09%,950.26 K USD,27.83 K USD,346.32 M,—
FALX,2394,0.00009600 USD,−3.18%,947.96 K USD,2.09 K USD,9.87 B,—
AMKT,2395,217.64 USD,+7.58%,946.84 K USD,1.2 K USD,4.35 K,—
ANDY,2396,0.0010016 USD,−16.22%,947.73 K USD,75.95 K USD,946.22 M,Memes
CATA,2397,0.000048500 USD,+1.91%,939.8 K USD,207.17 K USD,19.38 B,Memes
PEPEBRC,2398,0.022600 USD,−1.73%,950.76 K USD,98.41 K USD,42.07 M,Memes
DOGE20,2399,0.0000079400 USD,+5.50%,944.84 K USD,986 USD,119 B,—
TOAD,2400,0.0000000000000 USD,+9.62%,939.55 K USD,624.52 K USD,407.08 T,—
TAMA,2401,0.00067359 USD,−2.33%,938.55 K USD,54.71 K USD,1.39 B,Memes
AMO,2402,0.000018640 USD,−0.41%,932 K USD,62.33 K USD,50 B,—
MBD,2403,0.000035540 USD,−4.16%,931.95 K USD,63 K USD,26.22 B,"Gaming, Data management & AI, Metaverse, E-commerce, Real estate, Marketplace"
GOFX,2404,0.0026720 USD,−1.45%,928.36 K USD,—,347.44 M,—
AIR,2405,0.025119 USD,+28.39%,923.12 K USD,117.44 K USD,36.75 M,—
WOZX,2406,0.0017526 USD,−1.41%,923.86 K USD,—,527.14 M,"NFTs & Collectibles, Energy, Loyalty & Rewards"
KINT,2407,0.30300 USD,+4.12%,922.93 K USD,7.58 K USD,3.05 M,"Smart contract platforms, Decentralized exchange, Lending & Borrowing, DAO, Layer 1"
RPG,2408,0.099298 USD,+3.15%,924.08 K USD,92 USD,9.31 M,—
MEI,2409,0.008950 USD,−19.24%,1.02 M USD,1.73 K USD,113.94 M,—
SPT,2410,0.014840 USD,+9.46%,914.22 K USD,19.53 K USD,61.6 M,—
WELL,2411,0.00022325 USD,−1.41%,918.92 K USD,284.78 K USD,4.12 B,—
BEFE,2412,0.0000098800 USD,+0.32%,920.82 K USD,900.07 K USD,93.2 B,Memes
OOKI,2413,0.000066900 USD,−0.26%,917.59 K USD,262.87 K USD,13.72 B,"Decentralized exchange, Data management & AI, Lending & Borrowing, DeFi"
BTF,2414,0.0091843 USD,−6.30%,918.43 K USD,35.93 M USD,100 M,—
SCOTTY,2415,0.0010540 USD,+0.21%,914.12 K USD,43.56 K USD,867.28 M,Memes
ELIZA,2416,0.00095998 USD,+9.11%,922.59 K USD,829.36 K USD,961.05 M,"Memes, Data management & AI"
BROCCOLI,2417,0.00092513 USD,+13.60%,925.13 K USD,288.44 K USD,1 B,—
VT,2418,0.0038299 USD,−1.01%,908.45 K USD,146.62 K USD,237.2 M,—
TEER,2419,0.22630 USD,−6.43%,900.23 K USD,15.26 K USD,3.98 M,"Privacy, Oracles, Interoperability, Layer 1"
SOAR,2420,0.0088798 USD,−1.42%,893.88 K USD,111.03 K USD,100.66 M,DePIN
JUSTICE,2421,0.000095080 USD,+3.24%,893.51 K USD,57.7 K USD,9.4 B,—
GNY,2422,0.0046449 USD,+4.22%,893.57 K USD,40.01 K USD,192.38 M,"Data management & AI, Enterprise solutions"
LBLOCK,2423,0.000012000 USD,0.00%,892.86 K USD,2.17 K USD,74.4 B,Gambling
GOZ,2424,0.27169 USD,+0.06%,891.81 K USD,51.57 K USD,3.28 M,"Sports, Fan Tokens"
DNA,2425,0.000000000000000 USD,−1.34%,880.88 K USD,393.06 K USD,"42,069 T",Memes
ZAP,2426,0.012470 USD,−5.57%,888.51 K USD,122.36 K USD,71.25 M,Marketplace
STONKS,2427,0.0000018600 USD,−5.43%,781.64 K USD,18.65 K USD,420.69 B,Memes
BLUE,2428,0.0009946 USD,+0.18%,888.28 K USD,11 USD,893.1 M,Memes
ZAI,2429,0.053579 USD,−14.66%,884.55 K USD,61.61 K USD,16.51 M,—
RMRK,2430,0.097298 USD,−7.14%,884.53 K USD,4.12 K USD,9.09 M,"NFTs & Collectibles, Metaverse"
HVH,2431,0.0019380 USD,−0.13%,883.6 K USD,38.05 K USD,455.94 M,"NFTs & Collectibles, Interoperability"
DETF,2432,0.012590 USD,+0.90%,881.3 K USD,105.96 K USD,70 M,—
CHIRP,2433,0.038589 USD,−0.90%,883.08 K USD,74.16 K USD,22.88 M,—
AIFUN,2435,0.0051269 USD,−4.24%,881.1 K USD,2.26 M USD,171.86 M,Data management & AI
DIVER,2436,0.0070509 USD,+1.43%,878.69 K USD,147.03 K USD,124.62 M,—
TENET,2437,0.0012015 USD,−1.47%,874.88 K USD,166.74 K USD,728.16 M,Derivatives
NCTR,2438,0.012800 USD,−23.84%,876.8 K USD,186 USD,68.5 M,Web3
KALIS,2439,0.019540 USD,−1.84%,875.52 K USD,30.92 K USD,44.81 M,Layer 1
CDT,2440,0.11290 USD,+0.55%,874.48 K USD,35.38 K USD,7.75 M,"Smart contract platforms, Insurance, Cybersecurity"
KNINE,2441,0.0000021700 USD,+0.93%,872.53 K USD,176.42 K USD,402.27 B,"Memes, Derivatives, DAO"
FURY,2442,0.033917 USD,+2.46%,866.18 K USD,222.54 K USD,25.54 M,Gaming
DCOIN,2443,0.00084698 USD,−4.70%,846.98 K USD,5.69 K USD,1 B,Memes
SEILOR,2444,0.0039269 USD,−4.06%,863.92 K USD,264.24 K USD,220 M,—
NFTB,2446,0.0012420 USD,−6.08%,857.68 K USD,30.87 K USD,690.57 M,"Gaming, NFTs & Collectibles"
GPTPLUS,2447,0.00011331 USD,−0.27%,855.71 K USD,61.14 K USD,7.55 B,—
RET,2448,0.000000000000000 USD,+5.33%,853.78 K USD,1.05 M USD,"20,117.71 T",—
CATANA,2449,0.00085198 USD,+4.16%,851.97 K USD,42.92 K USD,999.98 M,Memes
ELS,2450,0.0040991 USD,−4.60%,851.23 K USD,36.92 K USD,207.66 M,—
FPS,2451,0.024060 USD,+0.02%,850.74 K USD,25.81 K USD,35.36 M,Gaming
BEAT,2452,0.00082399 USD,−9.39%,858.26 K USD,91.07 K USD,1.04 B,"Social, media & Content"
NEOS,2453,0.008500 USD,−5.53%,850 K USD,32.53 K USD,100 M,—
STFX,2454,0.0048869 USD,+36.92%,848.81 K USD,23.33 K USD,173.69 M,Asset management
BABYELON,2455,0.0000e-12 USD,−1.48%,844.2 K USD,31.44 K USD,"420,000 T",Memes
RUM,2456,0.00073199 USD,−5.53%,842.01 K USD,19.95 K USD,1.15 B,—
UBU,2457,0.020020 USD,−0.18%,844.18 K USD,87.81 K USD,42.17 M,—
FREE,2458,0.000000090000 USD,+0.36%,849.57 K USD,27.09 K USD,9.94 T,Payments
SNFT,2459,0.036829 USD,−4.27%,843.51 K USD,56.07 K USD,22.9 M,"Sports, Fan Tokens"
